pid,author,tid,title,kana,trans,kousakun,kousakuk,status,statusdate,original,publisher,editionn,editionk,ranking,access,characount,minutes
42,寺田 寅彦,43283,二科会その他,新字新仮名,,Nana ohbe,松永正敏,公開,2006/9/13,寺田寅彦全集　第八巻,岩波書店,1997（平成9）年7月7日,,,,,
42,寺田 寅彦,43284,二科会展覧会雑感,新字新仮名,,Nana ohbe,松永正敏,公開,2006/9/13,寺田寅彦全集　第八巻,岩波書店,1997（平成9）年7月7日,,,,,
42,寺田 寅彦,43285,二科狂想行進曲,新字新仮名,,Nana ohbe,松永正敏,公開,2006/9/13,寺田寅彦全集　第八巻,岩波書店,1997（平成9）年7月7日,,,,,
42,寺田 寅彦,43286,二科展院展急行瞥見,新字新仮名,,Nana ohbe,松永正敏,公開,2006/9/13,寺田寅彦全集　第八巻,岩波書店,1997（平成9）年7月7日,,,,,
42,寺田 寅彦,2451,二十四年前,新字新仮名,,（株）モモ,かとうかおり,公開,2003/7/2,寺田寅彦随筆集　第二巻,岩波文庫、岩波書店,1997（平成9）年5月6日第70刷,1997（平成9）年5月6日第70刷,,,,
42,寺田 寅彦,2349,日常身辺の物理的諸問題,新字新仮名,,（株）モモ,かとうかおり,公開,2000/10/3,寺田寅彦随筆集　第三巻,岩波文庫、岩波書店,1993（平成5）年2月5日第59刷,1997（平成9）年9月5日第64刷,,,,
42,寺田 寅彦,2456,日本楽器の名称,新字新仮名,,（株）モモ,かとうかおり,公開,2003/7/2,寺田寅彦随筆集　第二巻,岩波文庫、岩波書店,1997（平成9）年5月6日第70刷,1997（平成9）年5月6日第70刷,,,,
42,寺田 寅彦,2510,日本人の自然観,新字新仮名,,（株）モモ,多羅尾伴内,公開,2003/11/29,寺田寅彦随筆集　第五巻,岩波文庫、岩波書店,1997（平成9）年9月5日第65刷,2001（平成13）年7月5日第67刷,,,,
42,寺田 寅彦,2477,ニュース映画と新聞記事,新字新仮名,,（株）モモ,かとうかおり,公開,2003/6/19,寺田寅彦随筆集　第四巻,岩波文庫、岩波書店,1995（平成7）年7月15日第63刷,1997（平成9）年6月13日第65刷,,,,
42,寺田 寅彦,2494,庭の追憶,新字新仮名,,（株）モモ,かとうかおり,公開,2003/6/19,寺田寅彦随筆集　第四巻,岩波文庫、岩波書店,1995（平成7）年7月15日第63刷,1997（平成9）年6月13日第65刷,,,,
42,寺田 寅彦,24406,根岸庵を訪う記,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
42,寺田 寅彦,42265,猫の穴掘り,新字新仮名,,Nana ohbe,砂場清隆,公開,2005/8/29,寺田寅彦全集　第四巻,岩波書店,1997（平成9）年3月5日,1997（平成9）年3月5日,,,,
42,寺田 寅彦,2335,ねずみと猫,新字新仮名,,田辺浩昭,かとうかおり,公開,1999/11/24,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年12月15日第81刷,1997（平成9）年12月15日第81刷,,,,
42,寺田 寅彦,4390,年賀状,新字新仮名,,砂場清隆,多羅尾伴内,公開,2003/11/29,寺田寅彦全集　第三巻,岩波書店,1997（平成9）年2月5日,1997（平成9）年2月5日,,,,
42,寺田 寅彦,1690,俳諧瑣談,新字新仮名,,門田裕志,浅原庸子,公開,2006/3/11,日本の名随筆　別巻25　俳句,作品社,1999（平成11）年11月20日第6刷,1995（平成7）年8月20日第4刷,,,,
42,寺田 寅彦,2471,俳諧の本質的概論,新字新仮名,,（株）モモ,かとうかおり,公開,2003/4/24,寺田寅彦随筆集　第三巻,岩波文庫、岩波書店,1993（平成5）年2月5日第59刷,1997（平成9）年9月5日第64刷,,,,
42,寺田 寅彦,2512,俳句の型式とその進化,新字新仮名,,（株）モモ,かとうかおり,公開,2003/4/24,寺田寅彦随筆集　第五巻,岩波文庫、岩波書店,1997（平成9）年9月5日第65刷,,,,,
42,寺田 寅彦,2513,俳句の精神,新字新仮名,,（株）モモ,多羅尾伴内,公開,2003/10/23,寺田寅彦随筆集　第五巻,岩波文庫、岩波書店,1997（平成9）年9月5日第65刷,2001（平成13）年7月5日第67刷,,,,
42,寺田 寅彦,2346,化け物の進化,新字新仮名,,（株）モモ,かとうかおり,公開,2000/10/3,寺田寅彦随筆集　第二巻,岩波文庫、岩波書店,1997（平成9）年5月6日第70刷,1997（平成9）年5月6日第70刷,,,,
42,寺田 寅彦,2493,函館の大火について,新字新仮名,,（株）モモ,かとうかおり,公開,2003/6/7,寺田寅彦随筆集　第四巻,岩波文庫、岩波書店,1995（平成7）年7月15日第63刷,1997（平成9）年6月13日第65刷,,,,
42,寺田 寅彦,42266,箱根熱海バス紀行,新字新仮名,,Nana ohbe,浅原庸子,公開,2006/11/23,寺田寅彦全集　第四巻,岩波書店,1997（平成9）年3月5日,　,,,,
42,寺田 寅彦,42166,蜂が団子をこしらえる話,新字新仮名,,Nana ohbe,noriko saito,公開,2005/3/12,寺田寅彦全集　第二巻,岩波書店,1997（平成9）年1月9日,1997（平成9）年1月9日,,,,
42,寺田 寅彦,24405,初旅,新字新仮名,,Nana ohbe,川向直樹,公開,2004/1/16,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,1996（平成8）年12月5日,,,,
42,寺田 寅彦,43570,話の種,新字新仮名,,Nana ohbe,松永正敏,公開,2006/9/9,寺田寅彦全集　第十二巻,岩波書店,1997（平成9）年11月21日,,,,,
42,寺田 寅彦,2331,花物語,新字新仮名,,田辺浩昭,田中敬三,公開,1999/11/24,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年12月15日第81刷,1997（平成9）年12月15日第81刷,,,,
42,寺田 寅彦,2511,破片,新字新仮名,,（株）モモ,かとうかおり,公開,2003/4/30,寺田寅彦随筆集　第五巻,岩波文庫、岩波書店,1997（平成9）年9月5日第65刷,,,,,
42,寺田 寅彦,2439,春寒,新字新仮名,,田辺浩昭,かとうかおり,公開,2003/6/16,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年12月15日第81刷,1997（平成9）年12月15日第81刷,,,,
42,寺田 寅彦,2440,春六題,新字新仮名,,（株）モモ,かとうかおり,公開,2003/6/10,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年5月15日第80刷,1997（平成9）年12月15日第81刷,,,,
42,寺田 寅彦,24404,半日ある記,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
